REGION,TECHNOLOGY,STORAGE,FUEL,EMISSION,SEASON,DAYTYPE,DAILYTIMEBRACKET,TIMESLICE,MODE_OF_OPERATION,YEAR,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,NewStorageCapacity,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,SalvageValueStorage,StorageLevelChronoDayStart,StorageLevelDayTypeFinish,StorageLevelYearStart,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
REGION1,BATTERY,,,,,102,,,,2034,,,,,,,,,,,,,,,,,,,,,,0.3438418488054063,,,,,,,
REGION1,BATTERY,,,,,102,,,,2035,,,,,,,,,,,,,,,,,,,,,,0.7704552540913827,,,,,,,
REGION1,BATTERY,,,,,102,,,,2036,,,,,,,,,,,,,,,,,,,,,,0.995583586987311,,,,,,,
REGION1,BATTERY,,,,,102,,,,2037,,,,,,,,,,,,,,,,,,,,,,1.2264484748622353,,,,,,,
REGION1,BATTERY,,,,,102,,,,2038,,,,,,,,,,,,,,,,,,,,,,1.7927403289653003,,,,,,,
REGION1,BATTERY,,,,,102,,,,2039,,,,,,,,,,,,,,,,,,,,,,2.705435619042778,,,,,,,
REGION1,BATTERY,,,,,102,,,,2040,,,,,,,,,,,,,,,,,,,,,,2.730135536454773,,,,,,,
REGION1,BATTERY,,,,,102,,,,2041,,,,,,,,,,,,,,,,,,,,,,11.614071437014772,,,,,,,
REGION1,BATTERY,,,,,102,,,,2042,,,,,,,,,,,,,,,,,,,,,,66.76654576485183,,,,,,,
REGION1,BATTERY,,,,,102,,,,2043,,,,,,,,,,,,,,,,,,,,,,112.2540672435828,,,,,,,
REGION1,BATTERY,,,,,102,,,,2044,,,,,,,,,,,,,,,,,,,,,,138.64444644376755,,,,,,,
REGION1,BATTERY,,,,,102,,,,2045,,,,,,,,,,,,,,,,,,,,,,145.06961149172773,,,,,,,
REGION1,BATTERY,,,,,102,,,,2046,,,,,,,,,,,,,,,,,,,,,,136.978559762657,,,,,,,
REGION1,BATTERY,,,,,102,,,,2047,,,,,,,,,,,,,,,,,,,,,,119.161857393099,,,,,,,
REGION1,BATTERY,,,,,102,,,,2048,,,,,,,,,,,,,,,,,,,,,,94.59838368016308,,,,,,,
REGION1,BATTERY,,,,,102,,,,2049,,,,,,,,,,,,,,,,,,,,,,63.40411925710932,,,,,,,
REGION1,BATTERY,,,,,102,,,,2050,,,,,,,,,,,,,,,,,,,,,,25.7071491132136,,,,,,,
REGION1,BATTERY,,,,,103,,,,2021,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,103,,,,2022,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,103,,,,2023,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,103,,,,2024,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,103,,,,2025,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,103,,,,2026,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,103,,,,2027,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,103,,,,2028,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,103,,,,2029,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,103,,,,2030,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,103,,,,2031,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,103,,,,2032,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,103,,,,2033,,,,,,,,,,,,,,,,,,,,,,0.0996631207696068,,,,,,,
REGION1,BATTERY,,,,,103,,,,2034,,,,,,,,,,,,,,,,,,,,,,0.3396441480202397,,,,,,,
REGION1,BATTERY,,,,,103,,,,2035,,,,,,,,,,,,,,,,,,,,,,0.7622790445054061,,,,,,,
REGION1,BATTERY,,,,,103,,,,2036,,,,,,,,,,,,,,,,,,,,,,0.9851632815412524,,,,,,,
REGION1,BATTERY,,,,,103,,,,2037,,,,,,,,,,,,,,,,,,,,,,1.2134157845005862,,,,,,,
REGION1,BATTERY,,,,,103,,,,2038,,,,,,,,,,,,,,,,,,,,,,1.7722665233893176,,,,,,,
REGION1,BATTERY,,,,,103,,,,2039,,,,,,,,,,,,,,,,,,,,,,2.693532183401653,,,,,,,
REGION1,BATTERY,,,,,103,,,,2040,,,,,,,,,,,,,,,,,,,,,,2.7309071904531206,,,,,,,
REGION1,BATTERY,,,,,103,,,,2041,,,,,,,,,,,,,,,,,,,,,,11.967867512773484,,,,,,,
REGION1,BATTERY,,,,,103,,,,2042,,,,,,,,,,,,,,,,,,,,,,67.09846764299623,,,,,,,
REGION1,BATTERY,,,,,103,,,,2043,,,,,,,,,,,,,,,,,,,,,,112.54274436575686,,,,,,,
REGION1,BATTERY,,,,,103,,,,2044,,,,,,,,,,,,,,,,,,,,,,138.88352691545515,,,,,,,
