name,node_code,node_type,substation_type,owner,province,latitude,longitude,operating_region,sources,notes
Fort Sask. Cogen 218S,AB_218S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,53.736184,-113.174092,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Marion 21S,AB_21S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.51245,-114.663397,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Sunken Lake 221S,AB_221S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,52.408018,-110.581495,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Strome 223S,AB_223S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,52.934308,-112.083274,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Magrath 225S,AB_225S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,49.422076,-112.898242,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Garden City 226S,AB_226S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.385946,-112.943463,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Cutting Lake 227S,AB_227S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,50.619854,-111.942869,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
TMPL Niton 228S,AB_228S_ISS,ISS,Industrial Customer Substation,Altalink Management Ltd.,AB,53.616119,-115.842906,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Glenwood 229S,AB_229S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.348727,-113.3876,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Wardlow 230S,AB_230S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,50.835157,-111.250116,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Beamer 233S,AB_233S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.841857,-113.097852,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Fort Assiniboine 234S,AB_234S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,54.311672,-114.768718,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Entwistle 235S,AB_235S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.583248,-114.985352,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Foothills 237S,AB_237S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,50.598059,-113.714479,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Shell Harmattan 238S,AB_238S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,51.716865,-114.356791,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Castle River 239S,AB_239S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,49.515911,-114.026624,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Mcbride Lake 240S,AB_240S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,49.612283,-113.481634,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Uplands 241S,AB_241S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.741475,-112.795037,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Flat Lake 242S,AB_242S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,54.768881,-112.67559,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Soderglen 243S,AB_243S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,49.53841,-113.523194,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Bowmanton 244S,AB_244S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,50.17756,-110.480231,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Seebe 245S,AB_245S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,51.115639,-115.032201,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Piper Creek 247S,AB_247S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,52.236727,-113.764883,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Bighorn Plant 250P,AB_250P_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,52.308276,-116.323716,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Whitla 251S,AB_251S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.610195,-111.17482,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Jarrow 252S,AB_252S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,52.965591,-111.431782,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Blackie 253S,AB_253S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,50.601942,-113.375293,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
