r,t,y,NewCapacity
"REGION1","DEMCOMBIO",2026,0.404040404040404
"REGION1","DEMCOMBIO",2027,0.454545454545455
"REGION1","DEMCOMBIO",2028,0.494949494949495
"REGION1","DEMCOMBIO",2029,0.545454545454546
"REGION1","DEMCOMBIO",2030,0.585858585858586
"REGION1","DEMCOMBIO",2031,0.636363636363636
"REGION1","DEMCOMBIO",2032,0.676767676767677
"REGION1","DEMCOMBIO",2033,0.717171717171717
"REGION1","DEMCOMBIO",2034,0.757575757575757
"REGION1","DEMCOMBIO",2035,0.797979797979798
"REGION1","DEMCOMBIO",2036,0.838383838383838
"REGION1","DEMCOMBIO",2037,0.868686868686869
"REGION1","DEMCOMBIO",2038,0.909090909090909
"REGION1","DEMCOMBIO",2039,0.93939393939394
"REGION1","DEMCOMBIO",2040,0.97979797979798
"REGION1","DEMCOMBIO",2041,0.924242424242424
"REGION1","DEMCOMBIO",2042,0.956565656565655
"REGION1","DEMCOMBIO",2043,0.987878787878788
"REGION1","DEMCOMBIO",2044,1.01919191919192
"REGION1","DEMCOMBIO",2045,1.05151515151515
"REGION1","DEMCOMBIO",2046,1.08282828282828
"REGION1","DEMCOMBIO",2047,1.11515151515152
"REGION1","DEMCOMBIO",2048,1.14646464646465
"REGION1","DEMCOMBIO",2049,1.17878787878788
"REGION1","DEMCOMBIO",2050,1.21010101010101
"REGION1","DEMCOMNGS",2020,84.8989898989899
"REGION1","DEMCOMNGS",2021,84.9494949494949
"REGION1","DEMCOMNGS",2022,84.8888888888889
"REGION1","DEMCOMNGS",2023,84.959595959596
"REGION1","DEMCOMNGS",2024,85.4848484848485
"REGION1","DEMCOMNGS",2025,86.5252525252525
"REGION1","DEMCOMNGS",2026,88.0505050505051
"REGION1","DEMCOMNGS",2027,89.4444444444445
"REGION1","DEMCOMNGS",2028,90.2727272727273
"REGION1","DEMCOMNGS",2029,91.3333333333333
"REGION1","DEMCOMNGS",2030,92.6060606060606
"REGION1","DEMCOMNGS",2031,94.1717171717172
"REGION1","DEMCOMNGS",2032,95.2222222222222
"REGION1","DEMCOMNGS",2033,95.9393939393939
"REGION1","DEMCOMNGS",2034,96.5959595959596
"REGION1","DEMCOMNGS",2035,97.3131313131313
"REGION1","DEMCOMNGS",2036,97.9292929292929
"REGION1","DEMCOMNGS",2037,98.4242424242424
"REGION1","DEMCOMNGS",2038,98.9191919191919
"REGION1","DEMCOMNGS",2039,99.4141414141414
"REGION1","DEMCOMNGS",2040,99.9191919191919
"REGION1","DEMCOMNGS",2041,103.268686868687
"REGION1","DEMCOMNGS",2042,104.305050505051
"REGION1","DEMCOMNGS",2043,105.341414141414
"REGION1","DEMCOMNGS",2044,106.376767676768
"REGION1","DEMCOMNGS",2045,107.413131313131
"REGION1","DEMCOMNGS",2046,108.448484848485
"REGION1","DEMCOMNGS",2047,109.484848484848
"REGION1","DEMCOMNGS",2048,110.520202020202
"REGION1","DEMCOMNGS",2049,111.556565656566
"REGION1","DEMCOMNGS",2050,112.592929292929
"REGION1","DEMCOMELCB02",2020,82.3333333333333
"REGION1","DEMCOMELCB02",2021,84.1966666666667
"REGION1","DEMCOMELCB02",2022,85.7422222222222
"REGION1","DEMCOMELCB02",2023,87.0133333333333
"REGION1","DEMCOMELCB02",2024,88.0533333333333
"REGION1","DEMCOMELCB02",2025,89.1077777777778
"REGION1","DEMCOMELCB02",2026,90.3211111111111
"REGION1","DEMCOMELCB02",2027,91.5777777777778
"REGION1","DEMCOMELCB02",2028,92.6033333333334
"REGION1","DEMCOMELCB02",2029,93.7155555555556
"REGION1","DEMCOMELCB02",2030,94.7844444444445
"REGION1","DEMCOMELCB02",2031,95.5933333333334
"REGION1","DEMCOMELCB02",2032,96.3877777777778
"REGION1","DEMCOMELCB02",2033,97.37
"REGION1","DEMCOMELCB02",2034,98.0055555555556
"REGION1","DEMCOMELCB02",2035,98.6122222222222
"REGION1","DEMCOMELCB02",2036,99.2188888888889
"REGION1","DEMCOMELCB02",2037,99.7677777777778
"REGION1","DEMCOMELCB02",2038,100.446666666667
"REGION1","DEMCOMELCB02",2039,101.053333333333
"REGION1","DEMCOMELCB02",2040,101.688888888889
"REGION1","DEMCOMELCB02",2041,102.513666666667
"REGION1","DEMCOMELCB02",2042,103.192555555556
"REGION1","DEMCOMELCB02",2043,103.87
"REGION1","DEMCOMELCB02",2044,104.547444444444
"REGION1","DEMCOMELCB02",2045,105.224888888889
"REGION1","DEMCOMELCB02",2046,105.902333333333
"REGION1","DEMCOMELCB02",2047,106.581222222222
"REGION1","DEMCOMELCB02",2048,107.258666666667
"REGION1","DEMCOMELCB02",2049,107.936111111111
"REGION1","DEMCOMELCB02",2050,108.613555555556
"REGION1","DEMAGRDSL",2020,15.030303030303
"REGION1","DEMAGRDSL",2021,15.7757575757576
"REGION1","DEMAGRDSL",2022,16.4313131313131
"REGION1","DEMAGRDSL",2023,16.820202020202
"REGION1","DEMAGRDSL",2024,17.7717171717172
"REGION1","DEMAGRDSL",2025,18.3242424242424
"REGION1","DEMAGRDSL",2026,18.9555555555556
"REGION1","DEMAGRDSL",2027,19.6262626262626
"REGION1","DEMAGRDSL",2028,20.3383838383838
"REGION1","DEMAGRDSL",2029,20.9333333333333
"REGION1","DEMAGRDSL",2030,21.6161616161616
"REGION1","DEMAGRDSL",2031,22.2828282828283
"REGION1","DEMAGRDSL",2032,22.9363636363636
"REGION1","DEMAGRDSL",2033,23.5848484848485
"REGION1","DEMAGRDSL",2034,24.2575757575758
"REGION1","DEMAGRDSL",2035,24.9111111111111
"REGION1","DEMAGRDSL",2036,25.5686868686869
"REGION1","DEMAGRDSL",2037,26.2282828282828
"REGION1","DEMAGRDSL",2038,26.889898989899
"REGION1","DEMAGRDSL",2039,27.5454545454545
"REGION1","DEMAGRDSL",2040,28.2060606060606
"REGION1","DEMAGRDSL",2041,28.8646464646465
"REGION1","DEMAGRDSL",2042,29.5232323232323
"REGION1","DEMAGRDSL",2043,30.1818181818182
"REGION1","DEMAGRDSL",2044,30.8414141414141
"REGION1","DEMAGRDSL",2045,31.5
"REGION1","DEMAGRDSL",2046,32.1585858585858
"REGION1","DEMAGRDSL",2047,32.8181818181818
"REGION1","DEMAGRDSL",2048,33.4767676767677
"REGION1","DEMAGRDSL",2049,34.1353535353535
"REGION1","DEMAGRDSL",2050,34.7949494949495
"REGION1","DEMAGRNGS",2020,0
"REGION1","DEMAGRNGS",2021,0
"REGION1","DEMAGRNGS",2022,0
"REGION1","DEMAGRNGS",2023,0
"REGION1","DEMAGRNGS",2024,0
"REGION1","DEMAGRNGS",2025,0
