r,t,y,CapitalInvestment
"REGION1","DEMRESNGS",2035,0.979393939393939
"REGION1","DEMRESNGS",2036,0.981818181818182
"REGION1","DEMRESNGS",2037,0.983232323232323
"REGION1","DEMRESNGS",2038,0.983333333333333
"REGION1","DEMRESNGS",2039,0.982727272727273
"REGION1","DEMRESNGS",2040,0.981515151515152
"REGION1","DEMRESNGS",2041,1.00510101010101
"REGION1","DEMRESNGS",2042,1.01207070707071
"REGION1","DEMRESNGS",2043,1.0190303030303
"REGION1","DEMRESNGS",2044,1.026
"REGION1","DEMRESNGS",2045,1.0329595959596
"REGION1","DEMRESNGS",2046,1.03991919191919
"REGION1","DEMRESNGS",2047,1.04688888888889
"REGION1","DEMRESNGS",2048,1.05384848484848
"REGION1","DEMRESNGS",2049,1.06081818181818
"REGION1","DEMRESNGS",2050,1.06777777777778
"REGION1","DEMRESELCB02",2020,1.07567777777778
"REGION1","DEMRESELCB02",2021,1.09965555555556
"REGION1","DEMRESELCB02",2022,1.12247777777778
"REGION1","DEMRESELCB02",2023,1.14775555555556
"REGION1","DEMRESELCB02",2024,1.17101111111111
"REGION1","DEMRESELCB02",2025,1.19426666666667
"REGION1","DEMRESELCB02",2026,1.21622222222222
"REGION1","DEMRESELCB02",2027,1.23586666666667
"REGION1","DEMRESELCB02",2028,1.25045555555556
"REGION1","DEMRESELCB02",2029,1.26388888888889
"REGION1","DEMRESELCB02",2030,1.27732222222222
"REGION1","DEMRESELCB02",2031,1.28858888888889
"REGION1","DEMRESELCB02",2032,1.3
"REGION1","DEMRESELCB02",2033,1.31314444444444
"REGION1","DEMRESELCB02",2034,1.32166666666667
"REGION1","DEMRESELCB02",2035,1.32917777777778
"REGION1","DEMRESELCB02",2036,1.33611111111111
"REGION1","DEMRESELCB02",2037,1.3429
"REGION1","DEMRESELCB02",2038,1.35041111111111
"REGION1","DEMRESELCB02",2039,1.35748888888889
"REGION1","DEMRESELCB02",2040,1.36384444444444
"REGION1","DEMRESELCB02",2041,1.37642555555556
"REGION1","DEMRESELCB02",2042,1.38491888888889
"REGION1","DEMRESELCB02",2043,1.39339777777778
"REGION1","DEMRESELCB02",2044,1.40187666666667
"REGION1","DEMRESELCB02",2045,1.41037
"REGION1","DEMRESELCB02",2046,1.41884888888889
"REGION1","DEMRESELCB02",2047,1.42734222222222
"REGION1","DEMRESELCB02",2048,1.43582111111111
"REGION1","DEMRESELCB02",2049,1.44431444444444
"REGION1","DEMRESELCB02",2050,1.45279333333333
"REGION1","DEMCOMKER",2020,0.106767676767677
"REGION1","DEMCOMKER",2021,0.109090909090909
"REGION1","DEMCOMKER",2022,0.111111111111111
"REGION1","DEMCOMKER",2023,0.112828282828283
"REGION1","DEMCOMKER",2024,0.114444444444444
"REGION1","DEMCOMKER",2025,0.115959595959596
"REGION1","DEMCOMKER",2026,0.117676767676768
"REGION1","DEMCOMKER",2027,0.11949494949495
"REGION1","DEMCOMKER",2028,0.121515151515151
"REGION1","DEMCOMKER",2029,0.123535353535354
"REGION1","DEMCOMKER",2030,0.125353535353535
"REGION1","DEMCOMKER",2031,0.126969696969697
"REGION1","DEMCOMKER",2032,0.128585858585859
"REGION1","DEMCOMKER",2033,0.13
"REGION1","DEMCOMKER",2034,0.131515151515151
"REGION1","DEMCOMKER",2035,0.132929292929293
"REGION1","DEMCOMKER",2036,0.134242424242424
"REGION1","DEMCOMKER",2037,0.135353535353535
"REGION1","DEMCOMKER",2038,0.136464646464646
"REGION1","DEMCOMKER",2039,0.137373737373737
"REGION1","DEMCOMKER",2040,0.138383838383838
"REGION1","DEMCOMKER",2041,0.143393939393939
"REGION1","DEMCOMKER",2042,0.145292929292929
"REGION1","DEMCOMKER",2043,0.14720202020202
"REGION1","DEMCOMKER",2044,0.14910101010101
"REGION1","DEMCOMKER",2045,0.151
"REGION1","DEMCOMKER",2046,0.15289898989899
"REGION1","DEMCOMKER",2047,0.15479797979798
"REGION1","DEMCOMKER",2048,0.15669696969697
"REGION1","DEMCOMKER",2049,0.15859595959596
"REGION1","DEMCOMKER",2050,0.160505050505051
"REGION1","DEMCOMBIO",2020,0.00121212121212121
"REGION1","DEMCOMBIO",2021,0.00171717171717172
"REGION1","DEMCOMBIO",2022,0.00222222222222222
"REGION1","DEMCOMBIO",2023,0.00262626262626263
"REGION1","DEMCOMBIO",2024,0.00313131313131313
"REGION1","DEMCOMBIO",2025,0.00353535353535353
"REGION1","DEMCOMBIO",2026,0.00404040404040404
"REGION1","DEMCOMBIO",2027,0.00454545454545455
"REGION1","DEMCOMBIO",2028,0.00494949494949495
"REGION1","DEMCOMBIO",2029,0.00545454545454545
"REGION1","DEMCOMBIO",2030,0.00585858585858586
"REGION1","DEMCOMBIO",2031,0.00636363636363636
"REGION1","DEMCOMBIO",2032,0.00676767676767677
"REGION1","DEMCOMBIO",2033,0.00717171717171717
"REGION1","DEMCOMBIO",2034,0.00757575757575758
"REGION1","DEMCOMBIO",2035,0.00797979797979798
"REGION1","DEMCOMBIO",2036,0.00838383838383838
"REGION1","DEMCOMBIO",2037,0.00868686868686869
"REGION1","DEMCOMBIO",2038,0.00909090909090909
"REGION1","DEMCOMBIO",2039,0.0093939393939394
"REGION1","DEMCOMBIO",2040,0.0097979797979798
"REGION1","DEMCOMBIO",2041,0.00924242424242424
"REGION1","DEMCOMBIO",2042,0.00956565656565655
"REGION1","DEMCOMBIO",2043,0.00987878787878788
"REGION1","DEMCOMBIO",2044,0.0101919191919192
"REGION1","DEMCOMBIO",2045,0.0105151515151515
"REGION1","DEMCOMBIO",2046,0.0108282828282828
"REGION1","DEMCOMBIO",2047,0.0111515151515152
"REGION1","DEMCOMBIO",2048,0.0114646464646465
"REGION1","DEMCOMBIO",2049,0.0117878787878788
"REGION1","DEMCOMBIO",2050,0.0121010101010101
"REGION1","DEMCOMNGS",2020,0.848989898989899
"REGION1","DEMCOMNGS",2021,0.84949494949495
"REGION1","DEMCOMNGS",2022,0.848888888888889
"REGION1","DEMCOMNGS",2023,0.84959595959596
"REGION1","DEMCOMNGS",2024,0.854848484848485
"REGION1","DEMCOMNGS",2025,0.865252525252525
"REGION1","DEMCOMNGS",2026,0.880505050505051
"REGION1","DEMCOMNGS",2027,0.894444444444445
"REGION1","DEMCOMNGS",2028,0.902727272727273
"REGION1","DEMCOMNGS",2029,0.913333333333333
"REGION1","DEMCOMNGS",2030,0.926060606060606
"REGION1","DEMCOMNGS",2031,0.941717171717172
"REGION1","DEMCOMNGS",2032,0.952222222222222
"REGION1","DEMCOMNGS",2033,0.959393939393939
"REGION1","DEMCOMNGS",2034,0.965959595959596
"REGION1","DEMCOMNGS",2035,0.973131313131313
"REGION1","DEMCOMNGS",2036,0.979292929292929
"REGION1","DEMCOMNGS",2037,0.984242424242424
"REGION1","DEMCOMNGS",2038,0.989191919191919
"REGION1","DEMCOMNGS",2039,0.994141414141414
"REGION1","DEMCOMNGS",2040,0.999191919191919
"REGION1","DEMCOMNGS",2041,1.03268686868687
"REGION1","DEMCOMNGS",2042,1.04305050505051
"REGION1","DEMCOMNGS",2043,1.05341414141414
"REGION1","DEMCOMNGS",2044,1.06376767676768
"REGION1","DEMCOMNGS",2045,1.07413131313131
"REGION1","DEMCOMNGS",2046,1.08448484848485
"REGION1","DEMCOMNGS",2047,1.09484848484848
"REGION1","DEMCOMNGS",2048,1.10520202020202
"REGION1","DEMCOMNGS",2049,1.11556565656566
"REGION1","DEMCOMNGS",2050,1.12592929292929
"REGION1","DEMCOMELCB02",2020,0.823333333333333
"REGION1","DEMCOMELCB02",2021,0.841966666666667
"REGION1","DEMCOMELCB02",2022,0.857422222222222
"REGION1","DEMCOMELCB02",2023,0.870133333333333
"REGION1","DEMCOMELCB02",2024,0.880533333333333
"REGION1","DEMCOMELCB02",2025,0.891077777777778
"REGION1","DEMCOMELCB02",2026,0.903211111111111
"REGION1","DEMCOMELCB02",2027,0.915777777777778
"REGION1","DEMCOMELCB02",2028,0.926033333333334
"REGION1","DEMCOMELCB02",2029,0.937155555555556
"REGION1","DEMCOMELCB02",2030,0.947844444444445
"REGION1","DEMCOMELCB02",2031,0.955933333333334
"REGION1","DEMCOMELCB02",2032,0.963877777777778
"REGION1","DEMCOMELCB02",2033,0.9737
"REGION1","DEMCOMELCB02",2034,0.980055555555556
"REGION1","DEMCOMELCB02",2035,0.986122222222222
"REGION1","DEMCOMELCB02",2036,0.992188888888889
"REGION1","DEMCOMELCB02",2037,0.997677777777778
"REGION1","DEMCOMELCB02",2038,1.00446666666667
"REGION1","DEMCOMELCB02",2039,1.01053333333333
"REGION1","DEMCOMELCB02",2040,1.01688888888889
"REGION1","DEMCOMELCB02",2041,1.02513666666667
"REGION1","DEMCOMELCB02",2042,1.03192555555556
"REGION1","DEMCOMELCB02",2043,1.0387
"REGION1","DEMCOMELCB02",2044,1.04547444444444
"REGION1","DEMCOMELCB02",2045,1.05224888888889
"REGION1","DEMCOMELCB02",2046,1.05902333333333
"REGION1","DEMCOMELCB02",2047,1.06581222222222
"REGION1","DEMCOMELCB02",2048,1.07258666666667
"REGION1","DEMCOMELCB02",2049,1.07936111111111
"REGION1","DEMCOMELCB02",2050,1.08613555555556
"REGION1","DEMAGRDSL",2020,0.15030303030303
