r,l,f,y,Demand
"REGION1","SEA1D","INDELCB02",2036,16.4325
"REGION1","SEA1D","INDELCB02",2037,16.3245
"REGION1","SEA1D","INDELCB02",2038,16.251
"REGION1","SEA1D","INDELCB02",2039,16.179
"REGION1","SEA1D","INDELCB02",2040,16.107
"REGION1","SEA1D","INDELCB02",2041,16.107
"REGION1","SEA1D","INDELCB02",2042,16.04145
"REGION1","SEA1D","INDELCB02",2043,15.97605
"REGION1","SEA1D","INDELCB02",2044,15.9105
"REGION1","SEA1D","INDELCB02",2045,15.84495
"REGION1","SEA1D","INDELCB02",2046,15.7794
"REGION1","SEA1D","INDELCB02",2047,15.71385
"REGION1","SEA1D","INDELCB02",2048,15.6483
"REGION1","SEA1D","INDELCB02",2049,15.58275
"REGION1","SEA1D","INDELCB02",2050,15.5172
"REGION1","SEA1D","ELCB02",2020,0
"REGION1","SEA1D","ELCB02",2021,0
"REGION1","SEA1D","ELCB02",2022,0
"REGION1","SEA1D","ELCB02",2023,0
"REGION1","SEA1D","ELCB02",2024,0
"REGION1","SEA1D","ELCB02",2025,0
"REGION1","SEA1D","ELCB02",2026,0
"REGION1","SEA1D","ELCB02",2027,0
"REGION1","SEA1D","ELCB02",2028,0
"REGION1","SEA1D","ELCB02",2029,0
"REGION1","SEA1D","ELCB02",2030,0
"REGION1","SEA1D","ELCB02",2031,0
"REGION1","SEA1D","ELCB02",2032,0
"REGION1","SEA1D","ELCB02",2033,0
"REGION1","SEA1D","ELCB02",2034,0
"REGION1","SEA1D","ELCB02",2035,0
"REGION1","SEA1D","ELCB02",2036,0
"REGION1","SEA1D","ELCB02",2037,0
"REGION1","SEA1D","ELCB02",2038,0
"REGION1","SEA1D","ELCB02",2039,0
"REGION1","SEA1D","ELCB02",2040,0
"REGION1","SEA1D","ELCB02",2041,0
"REGION1","SEA1D","ELCB02",2042,0
"REGION1","SEA1D","ELCB02",2043,0
"REGION1","SEA1D","ELCB02",2044,0
"REGION1","SEA1D","ELCB02",2045,0
"REGION1","SEA1D","ELCB02",2046,0
"REGION1","SEA1D","ELCB02",2047,0
"REGION1","SEA1D","ELCB02",2048,0
"REGION1","SEA1D","ELCB02",2049,0
"REGION1","SEA1D","ELCB02",2050,0
"REGION1","SEA1D","RESKER",2020,0
"REGION1","SEA1D","RESKER",2021,0
"REGION1","SEA1D","RESKER",2022,0
"REGION1","SEA1D","RESKER",2023,0
"REGION1","SEA1D","RESKER",2024,0
"REGION1","SEA1D","RESKER",2025,0
"REGION1","SEA1D","RESKER",2026,0
"REGION1","SEA1D","RESKER",2027,0
"REGION1","SEA1D","RESKER",2028,0
"REGION1","SEA1D","RESKER",2029,0
"REGION1","SEA1D","RESKER",2030,0
"REGION1","SEA1D","RESKER",2031,0
"REGION1","SEA1D","RESKER",2032,0
"REGION1","SEA1D","RESKER",2033,0
"REGION1","SEA1D","RESKER",2034,0
"REGION1","SEA1D","RESKER",2035,0
"REGION1","SEA1D","RESKER",2036,0
"REGION1","SEA1D","RESKER",2037,0
"REGION1","SEA1D","RESKER",2038,0
"REGION1","SEA1D","RESKER",2039,0
"REGION1","SEA1D","RESKER",2040,0
"REGION1","SEA1D","RESKER",2041,0
"REGION1","SEA1D","RESKER",2042,0
"REGION1","SEA1D","RESKER",2043,0
"REGION1","SEA1D","RESKER",2044,0
"REGION1","SEA1D","RESKER",2045,0
"REGION1","SEA1D","RESKER",2046,0
"REGION1","SEA1D","RESKER",2047,0
"REGION1","SEA1D","RESKER",2048,0
"REGION1","SEA1D","RESKER",2049,0
"REGION1","SEA1D","RESKER",2050,0
"REGION1","SEA1D","KER",2020,0
"REGION1","SEA1D","KER",2021,0
"REGION1","SEA1D","KER",2022,0
"REGION1","SEA1D","KER",2023,0
"REGION1","SEA1D","KER",2024,0
"REGION1","SEA1D","KER",2025,0
"REGION1","SEA1D","KER",2026,0
"REGION1","SEA1D","KER",2027,0
"REGION1","SEA1D","KER",2028,0
"REGION1","SEA1D","KER",2029,0
"REGION1","SEA1D","KER",2030,0
"REGION1","SEA1D","KER",2031,0
"REGION1","SEA1D","KER",2032,0
"REGION1","SEA1D","KER",2033,0
"REGION1","SEA1D","KER",2034,0
"REGION1","SEA1D","KER",2035,0
"REGION1","SEA1D","KER",2036,0
"REGION1","SEA1D","KER",2037,0
"REGION1","SEA1D","KER",2038,0
"REGION1","SEA1D","KER",2039,0
"REGION1","SEA1D","KER",2040,0
"REGION1","SEA1D","KER",2041,0
"REGION1","SEA1D","KER",2042,0
"REGION1","SEA1D","KER",2043,0
"REGION1","SEA1D","KER",2044,0
"REGION1","SEA1D","KER",2045,0
"REGION1","SEA1D","KER",2046,0
"REGION1","SEA1D","KER",2047,0
"REGION1","SEA1D","KER",2048,0
