id,source,year,name,link,publication,region,notes
441,Nova Scotia Power Inc.,2015.0,2015 ACE NSPI Responses to SBA Information Requests,https://uarb.novascotia.ca/fmi/webd/UARB15 [Search M06514],,Nova Scotia,
442,Nova Scotia Power Inc.,2020.0,2020 Integrated Resource Plan (IRP): Final Assumptions Set,https://irp.nspower.ca/files/key-documents/NS-Power-IRP-Appendices-A-N.pdf,,,
443,Dispatcho,2021.0,,https://www.dispatcho.app/assets,,Alberta,
444,CBC,2020.0,TC Energy joins hydroelectric power storage project at retired coal mine site,https://www.cbc.ca/news/canada/calgary/tc-energy-joins-pumped-hydro-power-storage-project-retired-coal-mine-site-1.5577377,,"Ontario, Alberta",
445,AESO,2021.0,AESO 2021 Long-term Outlook,https://www.aeso.ca/grid/forecasting/,,Alberta,See also the 2021 LTO Data File
446,Régie de l'énergie du Québec,2019.0,D2016-143 - Entent globale cadre 2017-2019,http://www.regie-energie.qc.ca/audiences/Suivis/Suivi_HQD_D2016-143.html,,Québec,
447,Hydro Québec,2020.0,Current List of Designated Resources,https://www.oasis.oati.com/hqt/index.html,,,
448,Hydro Québec Distribution,2019.0,HQD - Demande d'approbation du Plan d'approvisionnement 2020-2029 (R-4110-2019),http://publicsde.regie-energie.qc.ca/_layouts/publicsite/ProjectPhaseDetail.aspx?ProjectID=529&phase=1&Provenance=B&generate=true,,Québec,
449,Bruce Power,2015.0,Amended and Restated Bruce Power Refurbishment and Implementation Agreement,https://www.brucepower.com/life-extension-program-mcr-project/refurbishment-agreement/,,,
450,IESO,2021.0,IESO Registered Participants,https://www.ieso.ca/en/Sector-Participants/Registered-Participants,,,
451,TC Energy,2021.0,Proposed Meaford Storage Project,https://www.tcenergy.com/operations/power/pumped-storage-project/,,Ontario,
452,Hatch Acres,2005.0,Evaluation and Assessment of Ontario's Waterpower Potential. Final Report.,https://www.owa.ca/wp-content/uploads/2017/01/Evaluation-and-Assessment-of-Ontarios-Waterpower-Potential-Final-Report-.pdf,,Ontario,
453,IESO,2019.0,"IESO Active Contracted Generation List (June 30, 2021). ",https://www.ieso.ca/en/Power-Data/Supply-Overview/Transmission-Connected-Generation,,Ontario,
454,Northland Power,2015.0,Marmora Storage-Hydro Power,https://www.northlandpower.com/en/assets-and-infrastructure/Marmora_Pumped_Storage_spread.pdf,,,
455,Maritime Electric,2020.0,Integrated System Plan 2020,http://www.irac.pe.ca/electric/,,Prinnce Edward Island,
456,World Resources Institute,2019.0,Global Power Plant Database,http://datasets.wri.org/dataset/globalpowerplantdatabase,,Global,
457,BC Hydro,2021.0,BC Hydro and Power Authority Draft 2021 Integrated Resource Plan,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/regulatory-planning-documents/integrated-resource-plans/current-plan/draft-integrated-resource-plan.pdf,,British Columbia,
458,BC Hydro,2021.0,Historical Transmission Data: Gross Telemetered Load: British Columbia,https://www.bchydro.com/energy-in-bc/operations/transmission/transmission-system/balancing-authority-load-data/historical-transmission-data.html,,British Columbia,
459,"Tidball, R., Bluestein, J., Rodriguez, N., Knoke, S.",2010.0,Cost and Performance Assumptions for Modeling Electricity Generation Technologies,https://www.osti.gov/biblio/993653,,United States,
460,EIA,2020.0,Electric Power Monthly: Table 6.07.B. Capacity Factors for Utility Scale Generators Primarily Using Non-Fossil Fuels.,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_6_07_b,,United States,
461,EIA,2020.0,Electric Power Monthly: Table 6.07.A. Capacity Factors for Utility Scale Generators Primarily Using Fossil Fuels.,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=table_6_07_a,,United States,
462,EIA,2021.0,Annual Energy Outlook 2021. Table 1. Cost and performance characteristics of new central station electricity generating technologies.,https://www.eia.gov/outlooks/aeo/assumptions/pdf/table_8.2.pdf,,United States,
463,EIA,2020.0,"Nuclear fuel average price, all sectors, United States.",https://www.eia.gov/opendata/qb.php?sdid=SEDS.NUETD.US.A,,United States,
464,EIA,2020.0,"2020 Form EIA-860 Data - Schedule 3, 'Generator Data' (Operable Units Only).",https://www.eia.gov/electricity/data/eia860/,,United States,
465,EIA,2019.0,State Energy Data Set,https://www.eia.gov/state/seds/data.php?incfile=/state/seds/sep_sum/html/sum_pr_eu.html&sid=US,,United States,
466,EIA,2021.0,Short-term Energy Outlook,https://www.eia.gov/outlooks/steo/data/browser/#/?v=8,,United States,
467,IRENA,2019.0,Flexibility in Conventional Power Plants: Innovation Landscape Brief.,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2019/Sep/IRENA_Flexibility_in_CPPs_2019.pdf?la=en&hash=AF60106EA083E492638D8FA9ADF7FD099259F5A1,,Global,
468,Department of Energy,2021.0,U.S. Hydropower Market Report,https://www.energy.gov/sites/prod/files/2021/01/f82/us-hydropower-market-report-full-2021.pdf,,United States,
469,NREL,2021.0,The North American Renewable Integration Study: A U.S. Perspective,https://www.nrel.gov/docs/fy21osti/79224.pdf,,North America,
470,IEEE,1999.0,"The IEEE Reliability Test System - 1996. IEEE Transactions on Power Systems, Vol. 14, No.3.",,,United States,
471,WECC,2019.0,ADS 2028 Deliverables Datasets,https://www.wecc.org/SystemAdequacyPlanning/Pages/Datasets.aspx,,North America,
472,Gonzalez-Salazar,2018.0,Review of the operational flexibility and emissions of gas- and coal-fired power plants in a future with growing renewables,,Renewable and Sustainable Energy Reviews 82 (2018) 1497-1513,North America,
473,GE Energy Consulting,2016.0,Pan-Canadian Wind Integration Study (PCWIS) Final Report.,https://canwea.ca/wind-integration-study/,,Canada,
474,BC Hydro,2013.0,Integrated Resource Plan Appendix 3A-4. 2013 Resource Options Report Update Resource Options Database (RODAT) Summary Sheets.,https://www.bchydro.com/toolbar/about/planning-for-our-future/irp/current-plan/document-centre/reports/november-2013-irp.html,,British Columbia,
475,NREL,2020.0,Annual Technology Baseline (Data) ATB,https://atb.nrel.gov/electricity/data.html,,United States,
476,NREL,2016.0,Regional Energy Deployment System (ReEDS) Model Documentation: Version 2016,https://www.nrel.gov/docs/fy17osti/67067.pdf,,United States,
477,Water Resources Act,1991.0,"Water Resources Act, SNL 2002, c W-4.01, Water Power Rental Regulations, 2003, NLR 64/03",https://www.canlii.org/en/nl/laws/regu/nlr-64-03/latest/nlr-64-03.html,,,
478,Watercourses Act,2017.0,"Watercourses Act, CQLR c R-13, s-68. ",https://www.canlii.org/en/qc/laws/stat/cqlr-c-r-13/latest/cqlr-c-r-13.html?autocompleteStr=water&autocompletePos=3#document,,Québec,
479,Hydro Québec Act,2020.0,"Hydro Québec Act, CQLR c H-5, s.16.",https://www.canlii.org/en/qc/laws/stat/cqlr-c-h-5/latest/cqlr-c-h-5.html?autocompleteStr=Hydro%20&autocompletePos=1,,Québec,
480,Electricity Act,1998.0,"Taxes and Charges on Hydroelectric Generating Stations, Ontario Regulation 124/02, s.92.1",https://www.canlii.org/en/on/laws/regu/o-reg-124-02/latest/o-reg-124-02.html?autocompleteStr=Taxes%20and%20charge&autocompletePos=1,,Ontario,
481,The Water Power Act,1988.0,"Water Power Regulation, Man Reg 25/88 R, s.48(3.2)",https://www.canlii.org/en/mb/laws/regu/man-reg-25-88-r/latest/man-reg-25-88-r.html,,Manitoba,
482,The Water Power Rental Regulations,2018.0,"The Water Power Rental Regulations, 2018, RRS c W-6 Reg 4",https://www.canlii.org/en/sk/laws/regu/rrs-c-w-6-reg-4/latest/rrs-c-w-6-reg-4.html?autocompleteStr=the%20water%20power%20rent&autocompletePos=1,,,
483,Water Sustainability Act,2016.0,"Water Sustainability Fees, Rentals and Charges Tariff Regulation, s.14",https://www.canlii.org/en/bc/laws/regu/bc-reg-37-2016/latest/bc-reg-37-2016.html?autocompleteStr=water%20sustainab&autocompletePos=3,,,
485,https://github.com/ResearchAtPlay/MetroVanElectrifiedDemand,,,,,,
486,"BC Hydro F17- F19 Revenue Rate Application, page 699, F2016 Actual, Total Sources of Supply (column 5, line 14)",,,https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/regulatory-planning-documents/revenue-requirements/f17-f19-rra-20160728.pdf#page=699,,,
487,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Transportation Sector, Table 20, Car Energy Use, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=tran&juris=bct&rn=20&page=0,,,
488,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Transportation Sector, Table 34, Passenger Light Truck Energy Use, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=tran&juris=bct&rn=34&page=0,,,
489,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Transportation Sector, Table 35, Freight Light Truck Energy Use, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=tran&juris=bct&rn=35&page=0,,,
490,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Transportation Sector, Table 36, Medium Trucks, Energy Use by Energy Source, Diesel Fuel Oil, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=tran&juris=bct&rn=36&page=0,,,
491,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Transportation Sector, Table 36, Medium Trucks, Energy Use by Energy Source, Motor Gasoline, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=tran&juris=bct&rn=36&page=0,,,
492,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Transportation Sector, Table 36, Heavy Trucks, Heavy Truck Energy Use, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=tran&juris=bct&rn=36&page=0,,,
493,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Transportation Sector, Table 21, Cars On-Road Average Fuel Consumption, Motor Gasoline, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=tran&juris=bct&rn=21&page=0,,,
494,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Transportation Sector, Table 37, Passenger Light Truck On-Road Average Fuel Consumption, Motor Gasoline, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=tran&juris=bct&rn=37&page=0,,,
495,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Transportation Sector, Table 37, Freight Light Truck On-Road Average Fuel Consumption, Motor Gasoline, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=tran&juris=bct&rn=37&page=0,,,
496,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Transportation Sector, Table 37, Medium Truck On-Road Average Fuel Consumption, Diesel Fuel Oil, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=tran&juris=bct&rn=37&page=0,,,
497,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Transportation Sector, Table 37, Medium Truck On-Road Average Fuel Consumption, Motor Gasoline, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=tran&juris=bct&rn=37&page=0,,,
498,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Transportation Sector, Table 37, Heavy Truck On-Road Average Fuel Consumption, Diesel Fuel Oil, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=tran&juris=bct&rn=37&page=0,,,
499,"Keller, V., English, J., Fernandez, J., Wade, C., Fowler, M., Scholtysik, S., Palmer-Wilson, K., Donald, J., Robertson, B., Wild, P., Crawford, C., Rowe, A., 2019. Electrification of road transportation with utility controlled charging: A case study for British Columbia with a 93% renewable electricity target. Appl. Energy 253. https://doi.org/doi.org/10.1016/j.apenergy.2019.113536",,,None,,,
500,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Residential  Sector, Table 5, Energy Use by Energy Source, Electricity, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=res&juris=bc&rn=5&page=0,,,
501,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Residential  Sector, Table 5, Energy Use by Energy Source, Natural Gas + Heating Oil + Other, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=res&juris=bc&rn=5&page=0,,,
502,"Natural Resources Canada, Comprehensive Energy Use Database, British Columbia, Commercial/Institutional Sector, Table 24, Energy Use by Energy Source, Electricity, 2016",,,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/showTable.cfm?type=CP&sector=com&juris=bct&rn=24&page=0,,,
