,project_name,connecting_node_code,Province,generation_type,installed_capacity,capacity_adjustment,effective_capacity,capacity_factor,annual_avg_energy,num_of_units,avg_unit_capacity,renewal_year,dam_type,penstock,rated_head,maximum_head,minimum_head,average_flow,rated_discharge_unit,rated_discharge_facility,upstream_reservoir_area,upstream_reservoir_storage,turbine_type,station_flow,lower_storage_name,lower_storage_level,upper_storage_name,upper_storage_level,max_live_storage,minimum_level,maximum_level,initial_level,low_ref_level,high_ref_level,low_volume,high_volume,live_storage,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,other_references,Notes
0,Units,,,,(MW),(%),(MW),(%),(GWh/year),,,,,(m),(m),(m),(m),(m3/s),(m3/s),(m3/s),(km2),(hours),,(WSC#),,(WSC#),,(WSC#),,(m),(m),(m),(m),(m),(m3),(m3),(m3),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),,
73,Abitibi Canyon,ON_ABC_GSS,ON,hydro_daily,355,0.6843083129843932,242.9294511094596,0.3005781722297254,934.738,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Aguasabon,ON_AGU_SWS,ON,hydro_daily,52,0.6843083129843932,35.58403227518845,0.6292654548647699,286.643,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Arnprior Hydro,ON_ARN_GSS,ON,hydro_daily,82,0.6843083129843932,56.11328166472024,0.21142805434903664,151.873,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Aubrey Falls,ON_AUB_GSS,ON,hydro_daily,146,0.6843083129843932,99.90901369572141,0.13130668668292989,167.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Chats Falls,ON_CHF_SWS,ON,hydro_daily,200,0.6843083129843932,136.86166259687863,0.6193276255707763,1085.062,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Chenaux,ON_CHX_TSS,ON,hydro_daily,158,0.6843083129843932,108.12071345153413,0.49064793942546675,679.096,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Decew Falls 1,ON_DEC_SWS,ON,hydro_daily,144,0.6843083129843932,98.54039706975263,0.4654212645865043,587.101,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Des-Joachims,ON_DEJ_TSS,ON,hydro_daily,475,0.6843083129843932,325.0464486675868,0.5118558038932949,2129.832,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Harmon_01,ON_HRJ_GSS,ON,hydro_daily,156,0.6843083129843932,106.75209682556535,0.25637805877531905,540.086,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated as separate facilities
82,Harmon_02,ON_HRJ_GSS,ON,hydro_daily,78,0.6843083129843932,53.37604841278267,0.27767533075752254,189.73,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operated as separate facilities
