,generation_unit_name,generation_unit_code,generation_facility_name,generation_facility_code,owner,province,location,latitude,longitude,elevation,copper_balancing_area,operating_region,connecting_node_name,connecting_node_code,connecting_voltage,start_year,previous_renewal_year,possible_renewal_year,closure_year,gen_type,gen_type_copper,unit_installed_capacity,facility_installed_capacity,capacity_adjustment,unit_effective_capacity,facility_effective_capacity,capacity_factor,unit_average_annual_energy,facility_average_annual_energy,generation_units_represented,total_facility_generation_units,notes
153,Elmworth,AB_NPC3_GEN,Elmworth,AB_NPC3_GEN,Northstone Power Corp.,AB,Grand Prairie,55.046360,-119.633218,728,Alberta.a,Alberta,Elmworth 731S,AB_731S_DSS,144,2022,2022,2052,,NG_SC,NG_SC,9.00,9.00,1.0000,9.00,9.00,0.3000,23.65,23.65,1,1,NULL
154,Northern Prairie ,AB_NPP01_GEN,Northern Prairie ,AB_NPP_GEN,Grande Prairie Generation Inc.,AB,Grande Prairie,57.033500,-111.601900,306,Alberta.a,Alberta,Lowe Lake 944S,AB_944S_DSS,138,2008,2008,2038,,NG_SC,NG_SC,105.00,105.00,1.0000,105.00,105.00,0.3000,275.94,275.94,1,1,NULL
155,NRGreen,AB_NRG03_GEN,NRGreen,AB_NRG_GEN,NRGreen Power Limited Partnership,AB,Swan Hills,54.285788,-116.182328,853,Alberta.a,Alberta,Chickadee Creek 259S,AB_259S_DSS,144,2013,2013,2043,,biomass,biomass,16.00,16.00,0.9600,15.36,15.36,0.5500,77.09,77.09,1,1,NULL
156,Nexen #2_01,AB_NX201_GEN,Nexen #2,AB_NX2_GEN,Nexen,AB,Anzac,56.452136,-111.022231,482,Alberta.a,Alberta,Long Lake Cogen 864S,AB_864S_GSS,138,2008,2008,2038,,NG_CG,NG_CC,80.00,183.00,0.9000,72.00,164.70,0.3000,210.24,480.92,1,4,NULL
157,Nexen #2_02,AB_NX202_GEN,Nexen #2,AB_NX2_GEN,Nexen,AB,Anzac,56.452136,-111.022231,482,Alberta.a,Alberta,Long Lake Cogen 864S,AB_864S_GSS,138,2008,2008,2038,,NG_CG,NG_CC,80.00,183.00,0.9000,72.00,164.70,0.3000,210.24,480.92,1,4,NULL
158,Nexen #2_03,AB_NX203_GEN,Nexen #2,AB_NX2_GEN,Nexen,AB,Anzac,56.452136,-111.022231,482,Alberta.a,Alberta,Long Lake Cogen 864S,AB_864S_GSS,138,2008,2008,2038,,NG_CG,NG_CC,11.50,183.00,0.9000,10.35,164.70,0.3000,30.22,480.92,1,4,NULL
159,Nexen #2_04,AB_NX204_GEN,Nexen #2,AB_NX2_GEN,Nexen,AB,Anzac,56.452136,-111.022231,482,Alberta.a,Alberta,Long Lake Cogen 864S,AB_864S_GSS,138,2008,2008,2038,,NG_CG,NG_CC,11.50,183.00,0.9000,10.35,164.70,0.3000,30.22,480.92,1,4,NULL
160,Nexen #1,AB_NXN01_GEN,Nexen #1,AB_NXN_GEN,ENMAX Balzac LP,AB,Calgary,51.191200,-113.942400,1088,Alberta.a,Alberta,Turbo Balzac 391S,AB_391S_DSS,144,2001,2001,2031,,NG_CC,NG_CC,120.00,120.00,0.9000,108.00,108.00,0.6000,630.72,630.72,2,2,NULL
161,Oldman_01,AB_OMRH01_GEN,Oldman,AB_OMRH_GEN,ATCO Power Canada Ltd.,AB,Pincher Creek,49.561008,-113.896038,1080,Alberta.a,Alberta,Oldman River 806S,AB_806S_GSS,144,2003,2003,2034,,hydro_daily,hydro_daily,16.00,32.00,0.7000,11.20,22.40,0.2400,33.64,67.28,1,2,NULL
162,Oldman_02,AB_OMRH02_GEN,Oldman,AB_OMRH_GEN,ATCO Power Canada Ltd.,AB,Pincher Creek,49.561008,-113.896038,1080,Alberta.a,Alberta,Oldman River 806S,AB_806S_GSS,144,2003,2003,2034,,hydro_daily,hydro_daily,16.00,32.00,0.7000,11.20,22.40,0.2400,33.64,67.28,1,2,NULL
