project_name,connecting_node_code,Province,generation_type,installed_capacity,capacity_adjustment,effective_capacity,capacity_factor,annual_avg_energy,num_of_units,avg_unit_capacity,renewal_year,dam_type,penstock,rated_head,maximum_head,minimum_head,average_flow,rated_discharge_unit,rated_discharge_facility,upstream_reservoir_area,upstream_reservoir_storage,turbine_type,station_flow,lower_storage_name,lower_storage_level,upper_storage_name,upper_storage_level,max_live_storage,minimum_level,maximum_level,initial_level,low_ref_level,high_ref_level,low_volume,high_volume,live_storage,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,other_references,Notes
Units,,,,(MW),(%),(MW),(%),(GWh/year),,,,,(m),(m),(m),(m),(m3/s),(m3/s),(m3/s),(km2),(hours),,(WSC#),,(WSC#),,(WSC#),,(m),(m),(m),(m),(m),(m3),(m3),(m3),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),,
Tyson Creek,BC_MSA_DSS,BC,Hydro_daily,9.3,1,9.3,0.56734087,46.22012601,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper Bonnington,BC_UBO_GSS,BC,Hydro_daily,63,1,63,0.331158825,182.7599321,6,,1939,,,,,,,,,,,,,Lower Bonnington,,Upper Bonnington,,,,,,,,,, ,,,,,,,,,,,,,,
Wahleach,BC_WAH_GSS,BC,Hydro_daily,65,1,65,0.331158809,188.5618257,1,,,,,,,,,,,,,,,,,Jones Lake,,,45,52.5,51,,,,,61000000,5,5,4,5,10,12,9,5,4,5,7,6,,
Walter Hardman,BC_WHN_GSS,BC,Hydro_daily,8,1,8,0.33115881,23.20760938,2,,,,,,,,,,,,,,,Arrow,,Walter Hardman,,,698,701.95,701.16,,,,,459350,4.020990368,3.460462234,3.582729238,5.312971413,12.9558639,19.9182626,15.31414213,9.437604857,6.021541079,5.956355139,5.752534845,4.266542204,,
Waneta,BC_WAN_GSS,BC,Hydro_daily,480,1,480,0.331158805,1392.456544,4,,,,,,,,,,,,,,,Columbia (U.S.),08NE058,Waneta,,,458.1,462.7,461.78,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,08NE058 is flow at the international border
Waneta Expansion,BC_WAX_GSS,BC,Hydro_daily,335,1,335,0.567340884,1664.918558,2,,,,,,,,,,,,,,,Columbia (U.S.),08NE058,Waneta,,,,,,,,,,,,,,,,,,,,,,,,08NE058 is flow at the international border
Whatshan,BC_WGS_GSS,BC,Hydro_daily,54,1,54,0.331158818,156.6513675,1,,,,,,,,,,,,,,,Arrow,,Whatshan,,,634,641.3,639.58,,,,,121500000,4.020990368,3.460462234,3.582729238,5.312971413,12.9558639,19.9182626,15.31414213,9.437604857,6.021541079,5.956355139,5.752534845,4.266542204,,
Zeballos Lake,BC_ZBL_GSS,BC,Hydro_daily,21.85,1,21.85,0.567328088,108.59,3,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearspaw,AB_44S_GSS,AB,Hydro_hourly,17,1,17,0.24,35.7408,1,,,,,15,,,,,,,,,05BH008,,,Bearspaw,,,,,,,,,,11000000,,,,,,,,,,,,,,https://open.alberta.ca/dataset/64a3fb66-ef4c-4f5e-85a3-27299acba5c1/resource/6bfbc5fe-23c6-44b0-ac66-7750c806fa5f/download/aep-bow-river-reservoir-options-phase-1-conceptual-assessment-appendix-c.pdf --page 14
Bighorn,AB_250P_GSS,AB,Hydro_daily,120,1,120,0.24,252.288,2,,,,,95,,,60,,,,,,05DC010,,,Bighorn Reservoir,05DC009,,,,,,,,,597385000,,,,,,,,,,,,,,https://environment.alberta.ca/forecasting/reports/Res_storage.pdf 
Brazeau,AB_62S_GSS,AB,Hydro_daily,362,1,362,0.24,761.0688,2,,,,,126,,,56,,,,,,05DD005,,,Brazeau Reservoir,05DD006,,,,,,,,,185988000,,,,,,,,,,,,,,https://environment.alberta.ca/forecasting/reports/Res_storage.pdf 
Cascade,AB_29S_GSS,AB,Hydro_hourly,35,1,35,0.24,73.584,2,,,,,105,,,14,,,,,,05BD004,,,Lake Minnewanka,05BD003,,,,,,,,,124057000,,,,,,,,,,,,,,https://environment.alberta.ca/forecasting/reports/Res_storage.pdf 
Ghost,AB_20S_GSS,AB,Hydro_hourly,61,1,61,0.24,128.2464,4,,,,,34,,,,,,,,,05BE999,,,Ghost Lake,05BE005,,,,,,,,,65709000,,,,,,,,,,,,,,https://environment.alberta.ca/forecasting/reports/Res_storage.pdf 
Oldman,AB_806S_GSS,AB,Hydro_hourly,32,1,32,0.24,67.2768,2,,,,,65,,,38,,,,,,05AA024,,,Oldman Reservoir,05AA032,,,,,,,,,303551000,,,,,,,,,,,,,,https://environment.alberta.ca/forecasting/reports/Res_storage.pdf 
Rundle,AB_35S_GSS,AB,Hydro_hourly,47,1,47,0.24,98.8128,2,,,,,98,,,,,,,,,TAU-009,,,Rundle,TAU-009,,,,,,,,,50038000,,,,,,,,,,,,,,Note Rundle uses Spray lakes reservoir from same link
Spray,AB_33S_GSS,AB,Hydro_hourly,92,1,92,0.24,193.4208,2,,,,,274,,,,,,,,,05BE007,Rundle,,Spray Lakes Reservoir,05BC006,,,,,,,,,72524000,,,,,,,,,,,,,,https://environment.alberta.ca/forecasting/reports/Res_storage.pdf 
Coteau Creek,SK_CCK_GSS,SK,Hydro-daily,186,0.981,182.466,0.45,733.212,3,,,,,,,,,,,,,,,,,Diefenbaker Lake,05HF003,,,,,,,,,,,,,,,,,,,,,,,
E.B. Campbell,SK_EBC_GSS,SK,Hydro-daily,288,0.981,282.528,0.45,1135.296,8,,2025,,,,,,,,,,,,05KD003,,,Tobin Lake,05KD004,,,,,,,,,,,,,,,,,,,,,,,
Island Falls-SK,SK_ISF_GSS,SK,Hydro-daily,111,0.981,108.891,0.45,437.562,7,,,,,,,,,,,,,,06EA002,Churchill River,,Island Falls Headpond,,,,,,,,,,,,,,,,,,,,,,,,
Nipawin,SK_NIP_GSS,SK,Hydro-daily,255,0.981,250.155,0.45,1005.21,3,,,,,,,,,,,,,,,Tobin Lake,05KD004,Codette Reservoir,05KD006,,,,,,,,,,,,,,,,,,,,,,,
Grand Rapids,MB_GRP_GSS,MB,Hydro_daily,480,0.981,470.88,0.369815449,1555,4,,,,,,,,,,,,,,05KL001,Lake Winnipeg (West),05SG001,Cedar Lake,05KL005,,,,,,,,,,,,,,,,,,,,,,,
Great Falls,MB_GRF_GSS,MB,Hydro_daily,129,0.981,126.549,0.809705851,915,6,,,,,,,,,,,,,,05PF048,Pine Falls,,Great Falls,,,,,,,,,,,,,,,,,,,,,,,,
Keeyask,MB_KSK_GSS,MB,Hydro_daily,693,0.981,679.833,0.729901757,4431,7,,,,,,19.2,19.2,3125,,,93,,,,Gull Lake,,Split Lake,05UF003,,,,,,,,,,,,,,,,,,,,,,,
McArthur Falls,MB_MCF_GSS,MB,Hydro_daily,56,0.981,54.936,0.795009785,390,8,,,,,,,,,,,,,,05PF068,Great Falls,,McArthur Falls,,,,,,,,,,,,,,,,,,,,,,,,
Pine Falls,MB_PNF_GSS,MB,Hydro_daily,84,0.981,82.404,0.869754294,640,6,,,,,,,,,,,,,,05PF069,Lake Winnipeg (South),05SA003,Pine Falls,,,,,,,,,,,,,,,,,,,,,,,,05SA003 not directly below Pine Falls GS
