"Scenario","Region","Variable","Year","Value","Sector"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2045","193.287800","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2045","2.208800","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2045","216.923000","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2046","1.422500","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2046","198.192700","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2046","2.129000","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2046","221.438000","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2047","1.475700","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2047","204.066500","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2047","2.090000","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2047","227.121300","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2048","1.452800","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2048","208.554500","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2048","2.000800","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2048","231.396200","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2049","1.425400","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2049","212.778000","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2049","1.910500","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2049","235.499700","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2050","1.394400","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2050","214.908900","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2050","1.821100","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2050","237.609600","Total End-Use"
"Canada Net-zero","Alberta","Diesel","2005","159.264100","Transportation"
"Canada Net-zero","Alberta","Diesel","2006","173.641100","Transportation"
"Canada Net-zero","Alberta","Diesel","2007","192.546100","Transportation"
"Canada Net-zero","Alberta","Diesel","2008","192.685000","Transportation"
