REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
REGION1,DEMCOMRPP,CO2,2031,0.511225
REGION1,DEMCOMRPP,CO2,2032,0.519805
REGION1,DEMCOMRPP,CO2,2033,0.526955
REGION1,DEMCOMRPP,CO2,2034,0.534105
REGION1,DEMCOMRPP,CO2,2035,0.54197
REGION1,DEMCOMRPP,CO2,2036,0.5498350000000001
REGION1,DEMCOMRPP,CO2,2037,0.5577
REGION1,DEMCOMRPP,CO2,2038,0.565565
REGION1,DEMCOMRPP,CO2,2039,0.5727150000000001
REGION1,DEMCOMRPP,CO2,2040,0.5791499999999998
REGION1,DEMCOMRPP,CO2,2041,0.5855849999999999
REGION1,DEMCOMRPP,CO2,2042,0.59202
REGION1,DEMCOMRPP,CO2,2043,0.598455
REGION1,DEMCOMRPP,CO2,2044,0.605605
REGION1,DEMCOMRPP,CO2,2045,0.612755
REGION1,DEMCOMRPP,CO2,2046,0.62062
REGION1,DEMCOMRPP,CO2,2047,0.6292
REGION1,DEMCOMRPP,CO2,2048,0.6392099999999997
REGION1,DEMCOMRPP,CO2,2049,0.6492199999999999
REGION1,DEMCOMRPP,CO2,2050,0.6606599999999998
REGION1,DEMTRAGSL,CO2,2021,9.547724
REGION1,DEMTRAGSL,CO2,2022,9.760148
REGION1,DEMTRAGSL,CO2,2023,9.893079999999998
REGION1,DEMTRAGSL,CO2,2024,9.62254
REGION1,DEMTRAGSL,CO2,2025,9.30858
REGION1,DEMTRAGSL,CO2,2026,8.990611999999999
REGION1,DEMTRAGSL,CO2,2027,8.639912
REGION1,DEMTRAGSL,CO2,2028,8.282531999999998
REGION1,DEMTRAGSL,CO2,2029,7.965900000000001
REGION1,DEMTRAGSL,CO2,2030,7.625888
REGION1,DEMTRAGSL,CO2,2031,7.386075999999998
REGION1,DEMTRAGSL,CO2,2032,7.136244
REGION1,DEMTRAGSL,CO2,2033,6.888416
REGION1,DEMTRAGSL,CO2,2034,6.651275999999999
REGION1,DEMTRAGSL,CO2,2035,6.414136
REGION1,DEMTRAGSL,CO2,2036,6.188351999999998
REGION1,DEMTRAGSL,CO2,2037,5.977932
REGION1,DEMTRAGSL,CO2,2038,5.778199999999998
REGION1,DEMTRAGSL,CO2,2039,5.593832
REGION1,DEMTRAGSL,CO2,2040,5.426831999999999
REGION1,DEMTRAGSL,CO2,2041,5.273859999999999
REGION1,DEMTRAGSL,CO2,2042,5.136251999999999
REGION1,DEMTRAGSL,CO2,2043,5.0140080000000005
REGION1,DEMTRAGSL,CO2,2044,4.90646
REGION1,DEMTRAGSL,CO2,2045,4.815612
REGION1,DEMTRAGSL,CO2,2046,4.738792
REGION1,DEMTRAGSL,CO2,2047,4.675331999999999
REGION1,DEMTRAGSL,CO2,2048,4.6232279999999975
REGION1,DEMTRAGSL,CO2,2049,4.582479999999999
REGION1,DEMTRAGSL,CO2,2050,4.550416
REGION1,DEMTRADSL,CO2,2021,6.778278
REGION1,DEMTRADSL,CO2,2022,6.714062
REGION1,DEMTRADSL,CO2,2023,6.8180640000000015
REGION1,DEMTRADSL,CO2,2024,6.5842339999999995
REGION1,DEMTRADSL,CO2,2025,6.540259999999999
REGION1,DEMTRADSL,CO2,2026,6.4425399999999975
REGION1,DEMTRADSL,CO2,2027,6.283396
REGION1,DEMTRADSL,CO2,2028,6.137514
REGION1,DEMTRADSL,CO2,2029,6.180092
REGION1,DEMTRADSL,CO2,2030,6.129836
REGION1,DEMTRADSL,CO2,2031,6.1368160000000005
REGION1,DEMTRADSL,CO2,2032,6.130533999999999
REGION1,DEMTRADSL,CO2,2033,6.131929999999999
REGION1,DEMTRADSL,CO2,2034,6.154964000000001
REGION1,DEMTRADSL,CO2,2035,6.174507999999999
REGION1,DEMTRADSL,CO2,2036,6.184977999999999
REGION1,DEMTRADSL,CO2,2037,6.194750000000001
REGION1,DEMTRADSL,CO2,2038,6.198240000000001
REGION1,DEMTRADSL,CO2,2039,6.204521999999999
REGION1,DEMTRADSL,CO2,2040,6.219878000000001
