REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,INFLOW01,18,2040,0.278680506072704
REGION1,INFLOW01,19,2040,0.1830849507888691
REGION1,INFLOW01,20,2040,0.194332923945326
REGION1,INFLOW01,21,2040,0.2085560909332129
REGION1,INFLOW01,22,2040,0.2044990049841596
REGION1,INFLOW01,23,2040,0.1942865257507355
REGION1,INFLOW01,24,2040,0.1899025096021168
REGION1,INFLOW01,1,2041,0.3471608387302253
REGION1,INFLOW01,2,2041,0.3474527380703203
REGION1,INFLOW01,3,2041,0.3466789229391492
REGION1,INFLOW01,4,2041,0.3431259222873303
REGION1,INFLOW01,5,2041,0.3426012314344719
REGION1,INFLOW01,6,2041,0.3412381195845609
REGION1,INFLOW01,7,2041,0.3407973915644017
REGION1,INFLOW01,8,2041,0.3384393371538855
REGION1,INFLOW01,9,2041,0.3356684813724622
REGION1,INFLOW01,10,2041,0.3321709210400696
REGION1,INFLOW01,11,2041,0.3349326162712744
REGION1,INFLOW01,12,2041,0.3341480790161827
REGION1,INFLOW01,13,2041,0.3534913537710646
REGION1,INFLOW01,14,2041,0.3531781579810054
REGION1,INFLOW01,15,2041,0.3348397015771438
REGION1,INFLOW01,16,2041,0.3408587238096153
REGION1,INFLOW01,17,2041,0.32342285095888
REGION1,INFLOW01,18,2041,0.278680506072704
REGION1,INFLOW01,19,2041,0.1830849507888691
REGION1,INFLOW01,20,2041,0.194332923945326
REGION1,INFLOW01,21,2041,0.2085560909332129
REGION1,INFLOW01,22,2041,0.2044990049841596
REGION1,INFLOW01,23,2041,0.1942865257507355
REGION1,INFLOW01,24,2041,0.1899025096021168
REGION1,INFLOW01,1,2042,0.3471608387302253
REGION1,INFLOW01,2,2042,0.3474527380703203
REGION1,INFLOW01,3,2042,0.3466789229391492
REGION1,INFLOW01,4,2042,0.3431259222873303
REGION1,INFLOW01,5,2042,0.3426012314344719
REGION1,INFLOW01,6,2042,0.3412381195845609
REGION1,INFLOW01,7,2042,0.3407973915644017
REGION1,INFLOW01,8,2042,0.3384393371538855
REGION1,INFLOW01,9,2042,0.3356684813724622
REGION1,INFLOW01,10,2042,0.3321709210400696
REGION1,INFLOW01,11,2042,0.3349326162712744
REGION1,INFLOW01,12,2042,0.3341480790161827
REGION1,INFLOW01,13,2042,0.3534913537710646
REGION1,INFLOW01,14,2042,0.3531781579810054
REGION1,INFLOW01,15,2042,0.3348397015771438
REGION1,INFLOW01,16,2042,0.3408587238096153
REGION1,INFLOW01,17,2042,0.32342285095888
REGION1,INFLOW01,18,2042,0.278680506072704
REGION1,INFLOW01,19,2042,0.1830849507888691
REGION1,INFLOW01,20,2042,0.194332923945326
REGION1,INFLOW01,21,2042,0.2085560909332129
REGION1,INFLOW01,22,2042,0.2044990049841596
REGION1,INFLOW01,23,2042,0.1942865257507355
REGION1,INFLOW01,24,2042,0.1899025096021168
REGION1,INFLOW01,1,2043,0.3471608387302253
REGION1,INFLOW01,2,2043,0.3474527380703203
REGION1,INFLOW01,3,2043,0.3466789229391492
REGION1,INFLOW01,4,2043,0.3431259222873303
REGION1,INFLOW01,5,2043,0.3426012314344719
REGION1,INFLOW01,6,2043,0.3412381195845609
REGION1,INFLOW01,7,2043,0.3407973915644017
REGION1,INFLOW01,8,2043,0.3384393371538855
