REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,COMELCB02,4,2034,0.0366424740922795
REGION1,COMELCB02,5,2034,0.0361606147877222
REGION1,COMELCB02,6,2034,0.0311564996843692
REGION1,COMELCB02,7,2034,0.0254725520738088
REGION1,COMELCB02,8,2034,0.0270837302135834
REGION1,COMELCB02,9,2034,0.0323742216478002
REGION1,COMELCB02,10,2034,0.033147437741155
REGION1,COMELCB02,11,2034,0.0335508548333451
REGION1,COMELCB02,12,2034,0.0300583087111922
REGION1,COMELCB02,13,2034,0.0292838475033683
REGION1,COMELCB02,14,2034,0.0326444114904097
REGION1,COMELCB02,15,2034,0.0385101458153579
REGION1,COMELCB02,16,2034,0.0404263770032243
REGION1,COMELCB02,17,2034,0.0394962764851432
REGION1,COMELCB02,18,2034,0.0334487554458203
REGION1,COMELCB02,19,2034,0.0284446403424656
REGION1,COMELCB02,20,2034,0.0321974153913626
REGION1,COMELCB02,21,2034,0.0382885154375499
REGION1,COMELCB02,22,2034,0.0395236690037451
REGION1,COMELCB02,23,2034,0.0386981581021404
REGION1,COMELCB02,24,2034,0.033511011169921
REGION1,COMELCB02,25,2034,0.0256406425288857
REGION1,COMELCB02,26,2034,0.0299400228353959
REGION1,COMELCB02,27,2034,0.0353114467109621
REGION1,COMELCB02,28,2034,0.0376161536172407
REGION1,COMELCB02,29,2034,0.037522770031088
REGION1,COMELCB02,30,2034,0.0311851373174584
REGION1,COMELCB02,1,2035,0.0266728424345064
REGION1,COMELCB02,2,2035,0.0302400954255735
REGION1,COMELCB02,3,2035,0.0357509721231239
REGION1,COMELCB02,4,2035,0.0366424740922795
REGION1,COMELCB02,5,2035,0.0361606147877222
REGION1,COMELCB02,6,2035,0.0311564996843692
REGION1,COMELCB02,7,2035,0.0254725520738088
REGION1,COMELCB02,8,2035,0.0270837302135834
REGION1,COMELCB02,9,2035,0.0323742216478002
REGION1,COMELCB02,10,2035,0.033147437741155
REGION1,COMELCB02,11,2035,0.0335508548333451
REGION1,COMELCB02,12,2035,0.0300583087111922
REGION1,COMELCB02,13,2035,0.0292838475033683
REGION1,COMELCB02,14,2035,0.0326444114904097
REGION1,COMELCB02,15,2035,0.0385101458153579
REGION1,COMELCB02,16,2035,0.0404263770032243
REGION1,COMELCB02,17,2035,0.0394962764851432
REGION1,COMELCB02,18,2035,0.0334487554458203
REGION1,COMELCB02,19,2035,0.0284446403424656
REGION1,COMELCB02,20,2035,0.0321974153913626
REGION1,COMELCB02,21,2035,0.0382885154375499
REGION1,COMELCB02,22,2035,0.0395236690037451
REGION1,COMELCB02,23,2035,0.0386981581021404
REGION1,COMELCB02,24,2035,0.033511011169921
REGION1,COMELCB02,25,2035,0.0256406425288857
REGION1,COMELCB02,26,2035,0.0299400228353959
REGION1,COMELCB02,27,2035,0.0353114467109621
REGION1,COMELCB02,28,2035,0.0376161536172407
REGION1,COMELCB02,29,2035,0.037522770031088
REGION1,COMELCB02,30,2035,0.0311851373174584
REGION1,COMELCB02,1,2036,0.0266728424345064
REGION1,COMELCB02,2,2036,0.0302400954255735
REGION1,COMELCB02,3,2036,0.0357509721231239
REGION1,COMELCB02,4,2036,0.0366424740922795
REGION1,COMELCB02,5,2036,0.0361606147877222
REGION1,COMELCB02,6,2036,0.0311564996843692
REGION1,COMELCB02,7,2036,0.0254725520738088
REGION1,COMELCB02,8,2036,0.0270837302135834
REGION1,COMELCB02,9,2036,0.0323742216478002
REGION1,COMELCB02,10,2036,0.033147437741155
REGION1,COMELCB02,11,2036,0.0335508548333451
REGION1,COMELCB02,12,2036,0.0300583087111922
REGION1,COMELCB02,13,2036,0.0292838475033683
REGION1,COMELCB02,14,2036,0.0326444114904097
REGION1,COMELCB02,15,2036,0.0385101458153579
REGION1,COMELCB02,16,2036,0.0404263770032243
REGION1,COMELCB02,17,2036,0.0394962764851432
REGION1,COMELCB02,18,2036,0.0334487554458203
REGION1,COMELCB02,19,2036,0.0284446403424656
REGION1,COMELCB02,20,2036,0.0321974153913626
REGION1,COMELCB02,21,2036,0.0382885154375499
REGION1,COMELCB02,22,2036,0.0395236690037451
REGION1,COMELCB02,23,2036,0.0386981581021404
REGION1,COMELCB02,24,2036,0.033511011169921
REGION1,COMELCB02,25,2036,0.0256406425288857
REGION1,COMELCB02,26,2036,0.0299400228353959
REGION1,COMELCB02,27,2036,0.0353114467109621
REGION1,COMELCB02,28,2036,0.0376161536172407
REGION1,COMELCB02,29,2036,0.037522770031088
REGION1,COMELCB02,30,2036,0.0311851373174584
REGION1,COMELCB02,1,2037,0.0266728424345064
REGION1,COMELCB02,2,2037,0.0302400954255735
REGION1,COMELCB02,3,2037,0.0357509721231239
REGION1,COMELCB02,4,2037,0.0366424740922795
REGION1,COMELCB02,5,2037,0.0361606147877222
REGION1,COMELCB02,6,2037,0.0311564996843692
REGION1,COMELCB02,7,2037,0.0254725520738088
REGION1,COMELCB02,8,2037,0.0270837302135834
REGION1,COMELCB02,9,2037,0.0323742216478002
REGION1,COMELCB02,10,2037,0.033147437741155
REGION1,COMELCB02,11,2037,0.0335508548333451
REGION1,COMELCB02,12,2037,0.0300583087111922
REGION1,COMELCB02,13,2037,0.0292838475033683
REGION1,COMELCB02,14,2037,0.0326444114904097
REGION1,COMELCB02,15,2037,0.0385101458153579
REGION1,COMELCB02,16,2037,0.0404263770032243
REGION1,COMELCB02,17,2037,0.0394962764851432
REGION1,COMELCB02,18,2037,0.0334487554458203
REGION1,COMELCB02,19,2037,0.0284446403424656
REGION1,COMELCB02,20,2037,0.0321974153913626
REGION1,COMELCB02,21,2037,0.0382885154375499
REGION1,COMELCB02,22,2037,0.0395236690037451
REGION1,COMELCB02,23,2037,0.0386981581021404
REGION1,COMELCB02,24,2037,0.033511011169921
REGION1,COMELCB02,25,2037,0.0256406425288857
REGION1,COMELCB02,26,2037,0.0299400228353959
REGION1,COMELCB02,27,2037,0.0353114467109621
REGION1,COMELCB02,28,2037,0.0376161536172407
REGION1,COMELCB02,29,2037,0.037522770031088
REGION1,COMELCB02,30,2037,0.0311851373174584
REGION1,COMELCB02,1,2038,0.0266728424345064
REGION1,COMELCB02,2,2038,0.0302400954255735
REGION1,COMELCB02,3,2038,0.0357509721231239
REGION1,COMELCB02,4,2038,0.0366424740922795
REGION1,COMELCB02,5,2038,0.0361606147877222
REGION1,COMELCB02,6,2038,0.0311564996843692
REGION1,COMELCB02,7,2038,0.0254725520738088
REGION1,COMELCB02,8,2038,0.0270837302135834
REGION1,COMELCB02,9,2038,0.0323742216478002
REGION1,COMELCB02,10,2038,0.033147437741155
REGION1,COMELCB02,11,2038,0.0335508548333451
REGION1,COMELCB02,12,2038,0.0300583087111922
REGION1,COMELCB02,13,2038,0.0292838475033683
REGION1,COMELCB02,14,2038,0.0326444114904097
REGION1,COMELCB02,15,2038,0.0385101458153579
REGION1,COMELCB02,16,2038,0.0404263770032243
REGION1,COMELCB02,17,2038,0.0394962764851432
REGION1,COMELCB02,18,2038,0.0334487554458203
REGION1,COMELCB02,19,2038,0.0284446403424656
REGION1,COMELCB02,20,2038,0.0321974153913626
REGION1,COMELCB02,21,2038,0.0382885154375499
REGION1,COMELCB02,22,2038,0.0395236690037451
REGION1,COMELCB02,23,2038,0.0386981581021404
REGION1,COMELCB02,24,2038,0.033511011169921
