r,t,m,y,TotalAnnualTechnologyActivityByMode
REGION1,DEMPWRSOL,1,2035,0.0157
REGION1,DEMPWRSOL,1,2036,0.0157
REGION1,DEMPWRSOL,1,2037,0.0157
REGION1,DEMPWRSOL,1,2038,0.0157
REGION1,DEMPWRSOL,1,2039,0.0157
REGION1,DEMPWRSOL,1,2040,0.0157
REGION1,DEMPWRSURBC1,1,2020,0.3768
REGION1,DEMPWRSURBC1,1,2021,0.3768
REGION1,DEMPWRSURBC1,1,2022,0.4603
REGION1,DEMPWRSURBC1,1,2023,0.5553
REGION1,DEMPWRSURBC1,1,2024,0.6732
REGION1,DEMPWRSURBC1,1,2025,0.3768
REGION1,DEMPWRSURBC1,1,2026,0.3768
REGION1,DEMPWRSURBC1,1,2027,0.3768
REGION1,DEMPWRSURBC1,1,2028,0.3768
REGION1,DEMPWRSURBC1,1,2029,0.3768
REGION1,DEMPWRSURBC1,1,2030,0.3768
REGION1,DEMPWRSURBC1,1,2031,0.3768
REGION1,DEMPWRSURBC1,1,2032,0.3768
REGION1,DEMPWRSURBC1,1,2033,0.3768
REGION1,DEMPWRSURBC1,1,2034,0.3768
REGION1,DEMPWRSURBC1,1,2035,0.3768
REGION1,DEMPWRSURBC1,1,2036,0.3768
REGION1,DEMPWRSURBC1,1,2037,0.3768
REGION1,DEMPWRSURBC1,1,2038,0.3768
REGION1,DEMPWRSURBC1,1,2039,0.3768
REGION1,DEMPWRSURBC1,1,2040,0.3768
REGION1,DEMPWRSURBC1,1,2041,0.3768
REGION1,DEMPWRSURBC1,1,2042,0.3799
REGION1,DEMPWRSURBC1,1,2043,0.3897
REGION1,DEMPWRSURBC1,1,2044,0.3953
REGION1,DEMPWRSURBC1,1,2045,0.4029
REGION1,DEMPWRSURBC1,1,2046,0.4165
REGION1,DEMPWRSURBC1,1,2047,0.4224
REGION1,DEMPWRSURBC1,1,2048,0.428
REGION1,DEMPWRSURBC1,1,2049,0.4336
REGION1,DEMPWRSURBC1,1,2050,0.4392
REGION1,DEMPWRWND,1,2020,153.7001
REGION1,DEMPWRWND,1,2021,166.9698
REGION1,DEMPWRWND,1,2022,167.5736
REGION1,DEMPWRWND,1,2023,167.5736
REGION1,DEMPWRWND,1,2024,167.5736
REGION1,DEMPWRWND,1,2025,167.5736
REGION1,DEMPWRWND,1,2026,191.9322
REGION1,DEMPWRWND,1,2027,203.2059
REGION1,DEMPWRWND,1,2028,211.116
REGION1,DEMPWRWND,1,2029,218.7674
REGION1,DEMPWRWND,1,2030,233.146
REGION1,DEMPWRWND,1,2031,249.077
REGION1,DEMPWRWND,1,2032,264.8602
REGION1,DEMPWRWND,1,2033,274.4706
REGION1,DEMPWRWND,1,2034,279.9411
REGION1,DEMPWRWND,1,2035,286.1879
REGION1,DEMPWRWND,1,2036,293.1369
REGION1,DEMPWRWND,1,2037,300.7883
REGION1,DEMPWRWND,1,2038,310.5095
REGION1,DEMPWRWND,1,2039,320.3417
REGION1,DEMPWRWND,1,2040,330.2108
REGION1,DEMPWRWND,1,2041,338.7934
REGION1,DEMPWRWND,1,2042,342.6097
REGION1,DEMPWRWND,1,2043,336.0025
REGION1,DEMPWRWND,1,2044,336.0025
REGION1,DEMPWRWND,1,2045,332.6976
REGION1,DEMPWRWND,1,2046,320.0843
REGION1,DEMPWRWND,1,2047,319.4805
REGION1,DEMPWRWND,1,2048,319.4805
REGION1,DEMPWRWND,1,2049,319.4805
REGION1,DEMPWRWND,1,2050,319.4805
REGION1,DEMRESBIO,1,2020,12.98
REGION1,DEMRESBIO,1,2021,13.23
REGION1,DEMRESBIO,1,2022,13.45
REGION1,DEMRESBIO,1,2023,13.72
REGION1,DEMRESBIO,1,2024,14.0
REGION1,DEMRESBIO,1,2025,14.26
REGION1,DEMRESBIO,1,2026,14.51
REGION1,DEMRESBIO,1,2027,14.72
REGION1,DEMRESBIO,1,2028,14.94
REGION1,DEMRESBIO,1,2029,15.14
REGION1,DEMRESBIO,1,2030,15.29
REGION1,DEMRESBIO,1,2031,15.44
REGION1,DEMRESBIO,1,2032,15.59
REGION1,DEMRESBIO,1,2033,15.7
REGION1,DEMRESBIO,1,2034,15.82
REGION1,DEMRESBIO,1,2035,15.91
REGION1,DEMRESBIO,1,2036,15.96
REGION1,DEMRESBIO,1,2037,15.99
REGION1,DEMRESBIO,1,2038,16.0
REGION1,DEMRESBIO,1,2039,15.98
REGION1,DEMRESBIO,1,2040,15.96
REGION1,DEMRESBIO,1,2041,15.906
REGION1,DEMRESBIO,1,2042,15.99
REGION1,DEMRESBIO,1,2043,16.075
REGION1,DEMRESBIO,1,2044,16.16
