REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,4,INDELCB02,2030,14.92203235
REGION1,4,INDELCB02,2031,15.27818355
REGION1,4,INDELCB02,2032,16.13341505
REGION1,4,INDELCB02,2033,16.97458795
REGION1,4,INDELCB02,2034,17.1960109
REGION1,4,INDELCB02,2035,17.38931665
REGION1,4,INDELCB02,2036,17.56739225
REGION1,4,INDELCB02,2037,17.72906615
REGION1,4,INDELCB02,2038,17.8848823
REGION1,4,INDELCB02,2039,18.05241395
REGION1,4,INDELCB02,2040,18.2176025
REGION1,4,INDELCB02,2041,18.3628747
REGION1,4,INDELCB02,2042,18.5058038
REGION1,4,INDELCB02,2043,18.64287515
REGION1,4,INDELCB02,2044,18.7776034
REGION1,4,INDELCB02,2045,18.9158463
REGION1,4,INDELCB02,2046,19.0540892
REGION1,4,INDELCB02,2047,19.1735873
REGION1,4,INDELCB02,2048,19.2860561
REGION1,4,INDELCB02,2049,19.40438265
REGION1,4,INDELCB02,2050,19.5203661
REGION1,4,RESELCB02,2021,7.70059815
REGION1,4,RESELCB02,2022,8.24654045
REGION1,4,RESELCB02,2023,8.5874615
REGION1,4,RESELCB02,2024,8.7959974
REGION1,4,RESELCB02,2025,9.0021902
REGION1,4,RESELCB02,2026,9.1990106
REGION1,4,RESELCB02,2027,9.39231635
REGION1,4,RESELCB02,2028,9.5785928
REGION1,4,RESELCB02,2029,9.7543253
REGION1,4,RESELCB02,2030,9.9277147
REGION1,4,RESELCB02,2031,10.1175058
REGION1,4,RESELCB02,2032,10.30964
REGION1,4,RESELCB02,2033,10.49591645
REGION1,4,RESELCB02,2034,10.684536
REGION1,4,RESELCB02,2035,10.86846935
REGION1,4,RESELCB02,2036,11.0453734
REGION1,4,RESELCB02,2037,11.21290505
REGION1,4,RESELCB02,2038,11.3710643
REGION1,4,RESELCB02,2039,11.51750805
REGION1,4,RESELCB02,2040,11.66043715
REGION1,4,RESELCB02,2041,11.80336625
REGION1,4,RESELCB02,2042,11.9427807
REGION1,4,RESELCB02,2043,12.0810236
REGION1,4,RESELCB02,2044,12.2169234
REGION1,4,RESELCB02,2045,12.3551663
REGION1,4,RESELCB02,2046,12.4934092
REGION1,4,RESELCB02,2047,12.6339952
REGION1,4,RESELCB02,2048,12.7792674
REGION1,4,RESELCB02,2049,12.92805425
REGION1,4,RESELCB02,2050,13.08035575
REGION1,4,TRAELCB02,2021,0.07849385
REGION1,4,TRAELCB02,2022,0.1241843
REGION1,4,TRAELCB02,2023,0.2038497
REGION1,4,TRAELCB02,2024,0.3327202
REGION1,4,TRAELCB02,2025,0.50728115
REGION1,4,TRAELCB02,2026,0.69941535
REGION1,4,TRAELCB02,2027,0.890378
REGION1,4,TRAELCB02,2028,1.0801691
REGION1,4,TRAELCB02,2029,1.27113175
REGION1,4,TRAELCB02,2030,1.4574082
REGION1,4,TRAELCB02,2031,1.6284545
REGION1,4,TRAELCB02,2032,1.81004475
REGION1,4,TRAELCB02,2033,1.9963212
REGION1,4,TRAELCB02,2034,2.18728385
REGION1,4,TRAELCB02,2035,2.3829327
REGION1,4,TRAELCB02,2036,2.5656945
REGION1,4,TRAELCB02,2037,2.73556925
REGION1,4,TRAELCB02,2038,2.8913854
REGION1,4,TRAELCB02,2039,3.03548605
REGION1,4,TRAELCB02,2040,3.17138585
REGION1,4,TRAELCB02,2041,3.2990848
REGION1,4,TRAELCB02,2042,3.420926
REGION1,4,TRAELCB02,2043,3.5357379
REGION1,4,TRAELCB02,2044,3.64703515
REGION1,4,TRAELCB02,2045,3.7536462
REGION1,4,TRAELCB02,2046,3.85791415
REGION1,4,TRAELCB02,2047,3.96101055
REGION1,4,TRAELCB02,2048,4.06176385
REGION1,4,TRAELCB02,2049,4.16251715
REGION1,4,TRAELCB02,2050,4.2597558
REGION1,5,COMELCB02,2021,6.44913739
REGION1,5,COMELCB02,2022,6.93802165
REGION1,5,COMELCB02,2023,7.22867672
REGION1,5,COMELCB02,2024,7.44028334
REGION1,5,COMELCB02,2025,7.64459318
REGION1,5,COMELCB02,2026,7.86592884
REGION1,5,COMELCB02,2027,8.09577741
REGION1,5,COMELCB02,2028,8.28062917
REGION1,5,COMELCB02,2029,8.43750994
REGION1,5,COMELCB02,2030,8.58466167
REGION1,5,COMELCB02,2031,8.74275857
REGION1,5,COMELCB02,2032,8.90936838
REGION1,5,COMELCB02,2033,9.05895237
REGION1,5,COMELCB02,2034,9.21218475
REGION1,5,COMELCB02,2035,9.36663326
REGION1,5,COMELCB02,2036,9.53081081
REGION1,5,COMELCB02,2037,9.6925561
REGION1,5,COMELCB02,2038,9.84578848
REGION1,5,COMELCB02,2039,9.99537247
REGION1,5,COMELCB02,2040,10.12671451
REGION1,5,COMELCB02,2041,10.25684042
REGION1,5,COMELCB02,2042,10.38088568
REGION1,5,COMELCB02,2043,10.50371481
REGION1,5,COMELCB02,2044,10.62167942
REGION1,5,COMELCB02,2045,10.74694081
REGION1,5,COMELCB02,2046,10.8843635
REGION1,5,COMELCB02,2047,11.0302991
REGION1,5,COMELCB02,2048,11.19204439
REGION1,5,COMELCB02,2049,11.3586542
REGION1,5,COMELCB02,2050,11.53985757
REGION1,5,INDELCB02,2021,10.78950536
REGION1,5,INDELCB02,2022,11.38662519
REGION1,5,INDELCB02,2023,12.12359997
REGION1,5,INDELCB02,2024,12.51154544
REGION1,5,INDELCB02,2025,12.89827478
REGION1,5,INDELCB02,2026,13.30567833
REGION1,5,INDELCB02,2027,13.52458173
REGION1,5,INDELCB02,2028,14.01833051
REGION1,5,INDELCB02,2029,14.85259569
REGION1,5,INDELCB02,2030,15.48984781
REGION1,5,INDELCB02,2031,15.85955133
REGION1,5,INDELCB02,2032,16.74732623
REGION1,5,INDELCB02,2033,17.62050757
REGION1,5,INDELCB02,2034,17.85035614
REGION1,5,INDELCB02,2035,18.05101759
REGION1,5,INDELCB02,2036,18.23586935
REGION1,5,INDELCB02,2037,18.40369529
REGION1,5,INDELCB02,2038,18.56544058
REGION1,5,INDELCB02,2039,18.73934717
REGION1,5,INDELCB02,2040,18.9108215
REGION1,5,INDELCB02,2041,19.06162162
REGION1,5,INDELCB02,2042,19.20998948
REGION1,5,INDELCB02,2043,19.35227669
REGION1,5,INDELCB02,2044,19.49213164
REGION1,5,INDELCB02,2045,19.63563498
REGION1,5,INDELCB02,2046,19.77913832
REGION1,5,INDELCB02,2047,19.90318358
REGION1,5,INDELCB02,2048,20.01993206
