REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,PWRBCWB01,WTRSURBC1,1,2025,0.0288
REGION1,PWRBCWB01,WTRSURBC1,1,2026,0.0288
REGION1,DEMPWRBIO,PWRBIO,1,2021,1
REGION1,DEMPWRBIO,PWRBIO,1,2022,1
REGION1,DEMPWRBIO,PWRBIO,1,2023,1
REGION1,DEMPWRBIO,PWRBIO,1,2024,1
REGION1,DEMPWRBIO,PWRBIO,1,2025,1
REGION1,DEMPWRBIO,PWRBIO,1,2026,1
REGION1,PWRBIOB01,ELCB01,1,2021,1
REGION1,PWRBIOB01,ELCB01,1,2022,1
REGION1,PWRBIOB01,ELCB01,1,2023,1
REGION1,PWRBIOB01,ELCB01,1,2024,1
REGION1,PWRBIOB01,ELCB01,1,2025,1
REGION1,PWRBIOB01,ELCB01,1,2026,1
REGION1,PWRBIOB01,WTRSURBC1,1,2021,0.0288
REGION1,PWRBIOB01,WTRSURBC1,1,2022,0.0288
REGION1,PWRBIOB01,WTRSURBC1,1,2023,0.0288
REGION1,PWRBIOB01,WTRSURBC1,1,2024,0.0288
REGION1,PWRBIOB01,WTRSURBC1,1,2025,0.0288
REGION1,PWRBIOB01,WTRSURBC1,1,2026,0.0288
REGION1,PWRBIOB02,ELCB01,1,2021,1
REGION1,PWRBIOB02,ELCB01,1,2022,1
REGION1,PWRBIOB02,ELCB01,1,2023,1
REGION1,PWRBIOB02,ELCB01,1,2024,1
REGION1,PWRBIOB02,ELCB01,1,2025,1
REGION1,PWRBIOB02,ELCB01,1,2026,1
REGION1,PWRBIOB02,WTRSURBC1,1,2021,0.0288
REGION1,PWRBIOB02,WTRSURBC1,1,2022,0.0288
REGION1,PWRBIOB02,WTRSURBC1,1,2023,0.0288
REGION1,PWRBIOB02,WTRSURBC1,1,2024,0.0288
REGION1,PWRBIOB02,WTRSURBC1,1,2025,0.0288
REGION1,PWRBIOB02,WTRSURBC1,1,2026,0.0288
REGION1,DEMPWRBSW,PWRBSW,1,2021,1
REGION1,DEMPWRBSW,PWRBSW,1,2022,1
REGION1,DEMPWRBSW,PWRBSW,1,2023,1
REGION1,DEMPWRBSW,PWRBSW,1,2024,1
REGION1,DEMPWRBSW,PWRBSW,1,2025,1
REGION1,DEMPWRBSW,PWRBSW,1,2026,1
REGION1,PWRBSWB01,ELCB01,1,2021,1
REGION1,PWRBSWB01,ELCB01,1,2022,1
REGION1,PWRBSWB01,ELCB01,1,2023,1
REGION1,PWRBSWB01,ELCB01,1,2024,1
REGION1,PWRBSWB01,ELCB01,1,2025,1
REGION1,PWRBSWB01,ELCB01,1,2026,1
REGION1,PWRBSWB01,WTRSURBC1,1,2021,0.0288
REGION1,PWRBSWB01,WTRSURBC1,1,2022,0.0288
REGION1,PWRBSWB01,WTRSURBC1,1,2023,0.0288
REGION1,PWRBSWB01,WTRSURBC1,1,2024,0.0288
REGION1,PWRBSWB01,WTRSURBC1,1,2025,0.0288
REGION1,PWRBSWB01,WTRSURBC1,1,2026,0.0288
REGION1,DEMPWRGEO,PWRGEO,1,2021,1
REGION1,DEMPWRGEO,PWRGEO,1,2022,1
REGION1,DEMPWRGEO,PWRGEO,1,2023,1
REGION1,DEMPWRGEO,PWRGEO,1,2024,1
REGION1,DEMPWRGEO,PWRGEO,1,2025,1
REGION1,DEMPWRGEO,PWRGEO,1,2026,1
REGION1,PWRGEOB01,ELCB01,1,2021,1
REGION1,PWRGEOB01,ELCB01,1,2022,1
REGION1,PWRGEOB01,ELCB01,1,2023,1
REGION1,PWRGEOB01,ELCB01,1,2024,1
REGION1,PWRGEOB01,ELCB01,1,2025,1
REGION1,PWRGEOB01,ELCB01,1,2026,1
REGION1,PWRGEOB01,WTRSURBC1,1,2021,0.0006
REGION1,PWRGEOB01,WTRSURBC1,1,2022,0.0006
REGION1,PWRGEOB01,WTRSURBC1,1,2023,0.0006
REGION1,PWRGEOB01,WTRSURBC1,1,2024,0.0006
REGION1,PWRGEOB01,WTRSURBC1,1,2025,0.0006
REGION1,PWRGEOB01,WTRSURBC1,1,2026,0.0006
REGION1,DEMPWRHYD,PWRHYD,1,2021,1
REGION1,DEMPWRHYD,PWRHYD,1,2022,1
REGION1,DEMPWRHYD,PWRHYD,1,2023,1
REGION1,DEMPWRHYD,PWRHYD,1,2024,1
